ID,Northing,Easting,Elevation,Code
940,2781858.57,486225.025,96.947,C
941,2781861.811,486224.192,96.691,C
942,2781859.123,486221.627,96.723,C
943,2781864.677,486221.037,96.405,C
944,2781867.627,486224.308,96.268,C
945,2781872.021,486222.149,96.025,C
946,2781877.893,486221.355,95.786,C
947,2781881.418,486223.636,95.654,C
948,2781879.463,486226.888,95.783,C
949,2781876.31,486228.122,95.911,C
950,2781878.638,486231.032,96.135,C
951,2781883.344,486235.1,95.845,C
952,2781885.499,486239.316,95.805,C
953,2781886.303,486243.243,95.838,C
954,2781884.44,486246.151,95.995,C
955,2781884.785,486251.293,96.352,C
956,2781886.997,486253.467,96.437,C
957,2781888.764,486256.045,96.555,C
958,2781885.143,486260.423,97.63,C
959,2781882.499,486257.43,97.283,C
960,2781886.044,486252.727,96.445,C
961,2781866.999,486224.637,96.316,C
965,2781859.078,486219.906,96.781,C
966,2781856.656,486217.785,96.854,C
967,2781855.349,486219.748,96.924,C
968,2781853.851,486222.668,97.163,C
969,2781852.03,486221.807,97.159,C
970,2781849.887,486221.616,97.122,C
971,2781850.974,486220.248,97.003,C
972,2781852.254,486218.862,96.906,C
973,2781850.194,486217.457,96.788,C
974,2781851.432,486215.452,96.686,C
975,2781854.67,486215.022,96.752,C
976,2781852.982,486211.029,96.428,C
977,2781850.476,486208.687,96.161,C
978,2781848.431,486209.161,96.153,C
979,2781848.154,486212.165,96.388,C
980,2781846.943,486210.273,96.219,C
981,2781846.092,486208.808,96.075,C
982,2781847.388,486206.815,95.994,C
983,2781846.881,486204.188,95.881,C
984,2781844.585,486206.253,95.935,C
985,2781847.234,486215.013,96.898,C
986,2781848.605,486217.147,96.931,C
987,2781846.012,486216.328,97.007,C
988,2781844.548,486220.106,97.071,C
989,2781837.653,486221.236,97.125,C
990,2781840.962,486225.164,97.16,C
991,2781843.44,486214.875,97.075,C
992,2781846.657,486222.583,97.097,C
993,2781838.057,486189.918,95.677,C
994,2781838.684,486188.121,95.185,C
995,2781836.598,486186.125,95.467,C
996,2781840.019,486186.974,94.92,C
997,2781840.596,486189.858,95.292,C
998,2781842.617,486190.042,94.781,C
999,2781845.892,486192.683,94.514,C
1000,2781847.843,486195.083,94.454,C
1001,2781853.152,486195.463,94.362,C
1002,2781856.124,486201.058,94.312,C
1003,2781861.018,486200.12,94.176,C
1004,2781863.426,486206.532,94.129,C
1005,2781863.614,486200.182,94.142,C
1006,2781865.601,486195.491,94.018,C
1007,2781869.637,486193.978,94.184,C
1008,2781867.501,486189.539,94.05,C
1009,2781871.119,486185.381,93.993,C
1010,2781874.288,486182.691,93.917,C
1011,2781873.246,486178.851,93.849,C
1012,2781870.797,486176.697,93.892,C
1013,2781868.718,486170.66,93.933,C
1014,2781862.104,486169.075,94.013,C
1015,2781861.803,486174.489,94.049,C
1016,2781861.241,486180.727,94.153,C
1017,2781857.719,486185.992,94.128,C
1018,2781851.591,486184.492,94.289,C
1019,2781850.898,486179.578,94.304,C
1020,2781845.675,486181.573,94.494,C
1021,2781841.965,486185.215,94.66,C
1043,2781853.626,486156.169,96.245,C
1044,2781855.176,486159.898,96.298,C
1045,2781851.93,486162.57,96.358,C
1046,2781846.337,486166.625,96.552,C
1047,2781837.939,486174.499,96.595,C
1048,2781832.182,486184.016,96.506,C
1049,2781849.535,486200.941,95.901,C
1050,2781845.217,486202.738,95.917,C
1051,2781844.163,486198.105,95.787,C
1052,2781840.256,486198.906,95.807,C
1053,2781836.717,486194.614,95.806,C
